sekolah,waktu_belajar,absensi,nilai_periode1,nilai_periode2,nilai_akhir
GP,>10 jam,2,65,55,55
GP,>10 jam,0,55,45,50
GP,2–5 jam,2,65,55,55
GP,<2 jam,0,65,65,70
GP,2–5 jam,4,55,55,55
GP,2–5 jam,0,55,55,55
GP,>10 jam,0,60,55,55
GP,>10 jam,1,65,65,65
GP,<2 jam,0,45,45,50
GP,2–5 jam,14,60,55,55
GP,<2 jam,0,55,55,60
GP,5–10 jam,2,50,45,45
GP,2–5 jam,4,60,55,55
GP,2–5 jam,2,65,60,65
GP,2–5 jam,2,65,60,60
GP,2–5 jam,4,60,55,60
GP,2–5 jam,6,65,55,55
GP,5–10 jam,4,75,75,75
GP,2–5 jam,6,60,50,55
GP,2–5 jam,6,45,45,50
GP,5–10 jam,2,45,55,55
GP,<2 jam,6,70,65,65
GP,2–5 jam,0,60,65,60
GP,2–5 jam,2,65,70,70
GP,>10 jam,2,55,60,60
GP,>10 jam,4,65,65,65
GP,<2 jam,6,45,55,55
GP,2–5 jam,0,65,60,60
GP,<2 jam,4,60,65,65
GP,5–10 jam,2,60,65,65
GP,<2 jam,12,45,45,40
GP,5–10 jam,0,80,80,80
GP,<2 jam,2,60,65,60
GP,2–5 jam,16,55,50,50
GP,2–5 jam,0,80,80,80
GP,>10 jam,10,50,50,50
GP,>10 jam,4,50,50,50
GP,5–10 jam,4,65,70,70
GP,>10 jam,8,60,50,55
GP,5–10 jam,2,75,75,70
GP,<2 jam,4,65,70,70
GP,5–10 jam,4,55,55,55
GP,2–5 jam,12,40,50,50
GP,<2 jam,10,90,85,90
GP,2–5 jam,4,50,45,50
GP,2–5 jam,6,80,70,70
GP,2–5 jam,4,80,75,80
GP,<2 jam,6,70,70,75
GP,2–5 jam,14,60,55,55
GP,<2 jam,2,70,65,70
GP,2–5 jam,0,70,70,70
GP,>10 jam,6,70,65,65
GP,2–5 jam,2,70,60,65
GP,<2 jam,4,60,65,65
GP,2–5 jam,0,60,55,55
GP,<2 jam,2,45,45,45
GP,2–5 jam,0,50,55,55
GP,2–5 jam,0,45,50,55
GP,<2 jam,8,70,70,75
GP,5–10 jam,4,65,60,65
GP,5–10 jam,0,50,55,60
GP,2–5 jam,10,50,45,40
GP,<2 jam,8,55,50,55
GP,<2 jam,6,55,60,65
GP,<2 jam,2,65,60,60
GP,<2 jam,12,75,65,70
GP,<2 jam,4,45,45,55
GP,<2 jam,12,65,55,55
GP,2–5 jam,2,60,55,55
GP,5–10 jam,4,65,70,75
GP,2–5 jam,2,50,45,50
GP,2–5 jam,0,70,65,65
GP,<2 jam,2,55,55,60
GP,5–10 jam,10,60,55,55
GP,<2 jam,8,60,55,55
GP,<2 jam,4,45,45,50
GP,2–5 jam,0,50,50,50
GP,<2 jam,6,65,70,70
GP,<2 jam,2,40,45,45
GP,>10 jam,6,45,55,55
GP,2–5 jam,24,45,40,45
GP,5–10 jam,0,75,65,65
GP,<2 jam,4,60,55,55
GP,5–10 jam,2,65,65,65
GP,<2 jam,4,50,55,55
GP,<2 jam,22,45,35,30
GP,2–5 jam,0,60,60,60
GP,<2 jam,0,55,50,50
GP,2–5 jam,2,55,55,55
GP,2–5 jam,6,65,60,65
GP,2–5 jam,6,55,55,55
GP,<2 jam,16,45,45,40
GP,<2 jam,0,60,55,55
GP,<2 jam,0,55,45,0
GP,<2 jam,6,45,50,50
GP,5–10 jam,2,65,65,65
GP,<2 jam,6,55,45,55
GP,<2 jam,0,65,65,65
GP,2–5 jam,0,35,40,40
GP,<2 jam,14,45,40,50
GP,<2 jam,6,55,50,55
GP,<2 jam,4,60,50,55
GP,2–5 jam,0,50,50,5
GP,<2 jam,0,45,40,50
GP,<2 jam,8,40,40,45
GP,2–5 jam,4,35,30,40
GP,<2 jam,2,40,45,50
GP,<2 jam,2,45,40,40
GP,2–5 jam,0,40,40,40
GP,<2 jam,10,40,35,40
GP,2–5 jam,0,45,50,55
GP,2–5 jam,0,85,85,90
GP,2–5 jam,0,60,60,65
GP,2–5 jam,0,80,80,85
GP,<2 jam,4,45,45,50
GP,2–5 jam,0,80,85,90
GP,2–5 jam,0,55,45,50
GP,2–5 jam,0,70,65,65
GP,2–5 jam,0,70,70,75
GP,2–5 jam,0,50,55,55
GP,2–5 jam,0,65,60,70
GP,2–5 jam,4,55,45,50
GP,<2 jam,8,50,45,55
GP,2–5 jam,4,55,55,65
GP,2–5 jam,4,55,50,55
GP,2–5 jam,0,55,60,65
GP,2–5 jam,0,85,90,85
GP,2–5 jam,32,70,65,70
GP,2–5 jam,8,70,75,80
GP,2–5 jam,6,55,65,70
GP,<2 jam,0,50,45,55
GP,2–5 jam,0,65,70,80
GP,2–5 jam,10,60,65,70
GP,2–5 jam,6,45,45,50
GP,2–5 jam,6,60,60,65
GP,2–5 jam,0,60,55,60
GP,2–5 jam,16,50,55,60
GP,<2 jam,0,55,50,50
GP,<2 jam,0,65,60,60
GP,2–5 jam,8,70,75,80
GP,<2 jam,4,65,65,70
GP,<2 jam,16,50,55,60
GP,<2 jam,30,70,75,80
GP,2–5 jam,0,55,50,55
GP,2–5 jam,2,70,70,75
GP,2–5 jam,4,55,60,60
GP,2–5 jam,0,70,75,75
GP,<2 jam,21,65,65,65
GP,>10 jam,6,65,65,65
GP,5–10 jam,14,40,45,40
GP,2–5 jam,2,55,55,60
GP,2–5 jam,4,70,75,75
GP,<2 jam,2,60,65,65
GP,5–10 jam,0,55,60,60
GP,>10 jam,4,60,60,60
GP,2–5 jam,15,65,60,60
GP,2–5 jam,0,65,65,65
GP,2–5 jam,10,60,55,55
GP,<2 jam,6,60,55,55
GP,2–5 jam,2,70,80,75
GP,2–5 jam,16,55,45,50
GP,2–5 jam,10,50,50,50
GP,<2 jam,4,60,65,65
GP,5–10 jam,0,60,60,65
GP,2–5 jam,0,55,50,55
GP,5–10 jam,12,60,60,60
GP,2–5 jam,0,65,65,70
GP,2–5 jam,9,50,45,50
GP,5–10 jam,4,75,80,80
GP,2–5 jam,4,40,40,40
GP,2–5 jam,2,85,90,85
GP,2–5 jam,0,50,55,55
GP,2–5 jam,2,45,50,55
GP,5–10 jam,0,75,75,80
GP,2–5 jam,0,70,60,60
GP,2–5 jam,0,60,65,65
GP,2–5 jam,0,65,65,65
GP,2–5 jam,0,65,65,70
GP,2–5 jam,2,45,45,45
GP,5–10 jam,0,60,60,60
GP,2–5 jam,0,80,80,80
GP,<2 jam,4,45,50,50
GP,2–5 jam,0,70,65,65
GP,2–5 jam,18,50,50,50
GP,2–5 jam,16,45,40,50
GP,<2 jam,14,40,35,35
GP,<2 jam,26,35,40,40
GP,<2 jam,6,50,40,45
GP,2–5 jam,4,70,70,75
GP,5–10 jam,10,55,50,50
GP,<2 jam,4,60,55,55
GP,2–5 jam,2,65,65,65
GP,<2 jam,14,45,45,40
GP,2–5 jam,16,40,35,40
GP,<2 jam,8,55,45,50
GP,5–10 jam,4,75,70,75
GP,2–5 jam,4,75,70,70
GP,2–5 jam,8,75,75,75
GP,2–5 jam,0,60,60,60
GP,<2 jam,7,70,70,75
GP,<2 jam,4,70,75,75
GP,2–5 jam,2,55,55,60
GP,5–10 jam,2,65,70,75
GP,5–10 jam,10,55,55,55
GP,2–5 jam,10,50,45,50
GP,5–10 jam,10,60,50,55
GP,<2 jam,7,75,80,80
GP,2–5 jam,4,55,50,55
GP,<2 jam,2,45,60,65
GP,<2 jam,12,35,40,25
GP,2–5 jam,8,50,45,50
GP,<2 jam,0,55,60,55
GP,<2 jam,8,35,40,35
GP,2–5 jam,4,45,55,50
GP,<2 jam,4,35,40,30
GP,<2 jam,2,70,65,60
GP,<2 jam,0,60,60,65
GP,<2 jam,0,45,50,50
GP,2–5 jam,2,60,60,65
GP,>10 jam,2,70,75,85
GP,2–5 jam,0,50,50,55
GP,2–5 jam,4,55,50,55
GP,5–10 jam,2,55,60,70
GP,5–10 jam,4,55,60,70
GP,2–5 jam,4,55,55,65
GP,2–5 jam,4,55,65,70
GP,2–5 jam,2,80,80,80
GP,<2 jam,0,45,50,50
GP,>10 jam,2,50,55,60
GP,2–5 jam,8,50,60,60
GP,2–5 jam,2,75,75,75
GP,2–5 jam,2,50,50,55
GP,5–10 jam,2,50,55,60
GP,5–10 jam,2,75,60,65
GP,5–10 jam,0,55,60,65
GP,<2 jam,8,40,40,45
GP,2–5 jam,6,75,80,80
GP,2–5 jam,0,55,55,70
GP,2–5 jam,8,50,55,60
GP,2–5 jam,4,50,60,70
GP,2–5 jam,12,40,45,50
GP,2–5 jam,16,55,60,60
GP,>10 jam,10,80,80,80
GP,2–5 jam,2,65,65,65
GP,2–5 jam,2,80,85,90
GP,2–5 jam,8,70,70,75
GP,2–5 jam,6,75,80,80
GP,2–5 jam,6,60,60,60
GP,2–5 jam,15,60,45,50
GP,<2 jam,6,55,60,60
GP,2–5 jam,2,70,60,65
GP,5–10 jam,8,65,75,75
GP,2–5 jam,0,45,40,50
GP,<2 jam,0,50,50,50
GP,<2 jam,10,50,50,55
GP,<2 jam,22,55,55,50
GP,<2 jam,18,65,65,65
GP,>10 jam,2,85,85,90
GP,2–5 jam,0,60,65,65
GP,2–5 jam,12,60,60,70
GP,2–5 jam,10,60,65,70
GP,2–5 jam,0,60,60,60
GP,5–10 jam,0,90,90,90
GP,5–10 jam,0,65,65,70
GP,5–10 jam,0,70,75,75
GP,2–5 jam,0,85,85,85
GP,2–5 jam,2,75,80,80
GP,5–10 jam,0,85,90,90
GP,>10 jam,0,90,95,95
GP,5–10 jam,0,70,75,75
GP,<2 jam,0,70,75,75
GP,2–5 jam,2,70,65,65
GP,2–5 jam,0,65,70,70
GP,>10 jam,0,80,85,85
GP,<2 jam,0,90,90,85
GP,2–5 jam,0,70,75,75
GP,<2 jam,0,60,65,65
GP,5–10 jam,0,35,35,40
GP,5–10 jam,0,80,80,80
GP,>10 jam,0,90,90,90
GP,5–10 jam,0,45,50,55
GP,<2 jam,0,70,75,75
GP,2–5 jam,0,50,50,55
GP,2–5 jam,2,50,50,55
GP,2–5 jam,2,60,60,75
GP,2–5 jam,2,55,60,70
GP,<2 jam,2,75,80,85
GP,5–10 jam,2,70,75,85
GP,<2 jam,8,60,60,75
GP,5–10 jam,2,75,75,85
GP,2–5 jam,8,55,60,70
GP,2–5 jam,9,55,50,50
GP,2–5 jam,0,60,55,65
GP,<2 jam,4,55,60,70
GP,<2 jam,2,70,75,85
GP,2–5 jam,14,75,70,85
GP,2–5 jam,0,60,60,65
GP,2–5 jam,2,55,60,70
GP,<2 jam,2,40,45,55
GP,5–10 jam,12,50,50,55
GP,2–5 jam,2,40,40,45
GP,<2 jam,2,50,50,50
GP,2–5 jam,4,70,65,65
GP,5–10 jam,0,55,55,50
GP,5–10 jam,0,85,90,85
GP,5–10 jam,0,70,70,75
GP,5–10 jam,0,70,70,70
GP,5–10 jam,0,65,70,65
GP,<2 jam,0,85,90,85
GP,<2 jam,2,55,50,50
GP,5–10 jam,0,65,60,65
GP,5–10 jam,4,75,70,75
GP,<2 jam,2,55,60,55
GP,>10 jam,0,55,55,60
GP,<2 jam,0,55,50,50
GP,2–5 jam,2,50,45,50
GP,5–10 jam,0,75,75,75
GP,<2 jam,6,75,70,75
GP,2–5 jam,8,50,55,60
GP,2–5 jam,0,50,45,60
GP,>10 jam,6,70,65,70
GP,5–10 jam,8,55,65,70
GP,2–5 jam,0,60,65,75
GP,>10 jam,4,70,70,75
GP,2–5 jam,0,70,70,80
GP,2–5 jam,0,60,60,65
GP,2–5 jam,6,80,80,85
GP,2–5 jam,18,50,60,70
GP,5–10 jam,0,55,60,70
GP,5–10 jam,4,70,80,85
GP,5–10 jam,4,75,70,85
GP,5–10 jam,0,70,65,70
GP,5–10 jam,0,55,60,65
GP,2–5 jam,10,60,75,75
GP,2–5 jam,4,60,80,80
GP,<2 jam,16,50,55,55
GP,<2 jam,6,50,65,65
GP,5–10 jam,0,45,60,60
GP,2–5 jam,11,45,55,60
GP,2–5 jam,9,65,70,75
GP,2–5 jam,0,65,85,85
GP,5–10 jam,2,60,75,75
GP,2–5 jam,0,70,85,85
GP,2–5 jam,21,45,50,50
GP,5–10 jam,8,55,75,75
GP,<2 jam,5,45,50,55
GP,2–5 jam,10,80,90,90
GP,5–10 jam,5,70,85,85
GP,<2 jam,13,65,70,70
GP,<2 jam,10,35,55,55
GP,2–5 jam,10,70,85,85
GP,<2 jam,5,40,50,50
GP,2–5 jam,4,50,65,65
MS,<2 jam,11,50,55,55
MS,2–5 jam,0,60,60,60
MS,<2 jam,6,50,50,50
MS,<2 jam,4,50,50,55
MS,2–5 jam,0,80,85,85
MS,<2 jam,0,30,40,45
MS,2–5 jam,5,50,55,55
MS,5–10 jam,0,50,55,55
MS,2–5 jam,0,50,50,50
MS,<2 jam,0,30,30,35
MS,<2 jam,0,65,70,70
MS,>10 jam,4,50,45,55
MS,2–5 jam,0,50,50,50
MS,<2 jam,4,30,35,40
MS,<2 jam,0,60,55,60
MS,<2 jam,2,50,55,60
MS,<2 jam,0,70,80,80
MS,2–5 jam,0,35,0,0
MS,2–5 jam,4,40,45,45
MS,2–5 jam,0,60,65,70
MS,2–5 jam,7,35,45,40
MS,2–5 jam,4,45,50,55
MS,2–5 jam,8,35,45,45
MS,2–5 jam,0,55,55,55
MS,<2 jam,8,40,50,45
MS,5–10 jam,6,80,80,85
MS,<2 jam,3,55,65,65
MS,2–5 jam,2,75,75,75
MS,2–5 jam,0,50,55,55
MS,2–5 jam,4,45,50,55
MS,5–10 jam,0,50,40,40
MS,5–10 jam,3,45,40,40
MS,2–5 jam,0,45,50,45
MS,2–5 jam,0,65,70,75
MS,<2 jam,4,50,55,55
MS,>10 jam,0,65,50,65
MS,5–10 jam,2,50,45,50
MS,2–5 jam,1,55,50,55
MS,<2 jam,0,65,60,70
MS,2–5 jam,0,65,70,70
MS,5–10 jam,2,70,55,60
MS,<2 jam,6,55,55,55
MS,2–5 jam,9,45,40,40
MS,<2 jam,0,50,45,55
MS,2–5 jam,1,70,65,70
MS,<2 jam,1,65,60,65
MS,2–5 jam,0,65,60,65
MS,2–5 jam,4,65,60,60
MS,2–5 jam,2,60,55,60
MS,<2 jam,0,70,70,80
MS,<2 jam,4,50,40,50
MS,<2 jam,2,50,55,55
MS,5–10 jam,0,60,65,70
MS,<2 jam,2,50,40,40
MS,<2 jam,11,60,50,55
MS,2–5 jam,0,35,35,40
MS,<2 jam,4,45,45,50
MS,<2 jam,0,45,45,50
MS,<2 jam,2,45,50,55
MS,<2 jam,0,45,50,45
MS,2–5 jam,1,45,50,55
MS,<2 jam,6,35,35,40
MS,2–5 jam,0,55,50,55
MS,<2 jam,1,45,50,50
MS,5–10 jam,6,35,45,50
MS,5–10 jam,6,35,45,45
MS,<2 jam,0,40,45,50
MS,<2 jam,4,45,55,50
MS,2–5 jam,12,35,40,45
MS,2–5 jam,2,40,50,50
MS,<2 jam,5,45,45,50
MS,2–5 jam,0,40,45,45
MS,<2 jam,0,70,65,65
MS,<2 jam,2,70,70,70
MS,>10 jam,0,50,55,50
MS,2–5 jam,0,70,65,70
MS,<2 jam,0,85,80,80
MS,<2 jam,12,30,35,35
MS,<2 jam,8,70,60,65
MS,>10 jam,2,50,40,45
MS,>10 jam,0,70,70,70
MS,5–10 jam,0,60,65,65
MS,<2 jam,0,55,55,55
MS,2–5 jam,8,55,45,50
MS,5–10 jam,0,55,55,50
MS,<2 jam,0,50,45,45
MS,2–5 jam,0,80,85,90
MS,2–5 jam,0,75,85,85
MS,2–5 jam,1,55,45,50
MS,2–5 jam,9,35,35,35
MS,<2 jam,0,40,30,40
MS,<2 jam,2,35,30,35
MS,2–5 jam,8,45,40,50
MS,2–5 jam,0,70,80,80
MS,<2 jam,0,70,70,75
MS,2–5 jam,8,40,25,40
MS,2–5 jam,0,40,35,0
MS,2–5 jam,6,30,40,40
MS,2–5 jam,0,40,50,50
MS,2–5 jam,4,40,40,40
MS,>10 jam,2,25,30,30
MS,2–5 jam,2,35,45,40
MS,5–10 jam,0,75,70,80
MS,<2 jam,1,65,70,70
MS,5–10 jam,0,50,45,50
MS,<2 jam,5,45,45,45
MS,<2 jam,1,55,55,55
MS,<2 jam,8,35,50,45
MS,2–5 jam,0,50,50,50
MS,2–5 jam,2,45,35,40
MS,2–5 jam,0,70,75,80
MS,<2 jam,0,55,60,60
MS,2–5 jam,11,45,55,50
MS,>10 jam,8,65,70,70
MS,<2 jam,11,60,65,60
MS,5–10 jam,2,55,55,55
MS,2–5 jam,8,45,50,50
MS,<2 jam,5,45,55,55
MS,2–5 jam,0,55,45,55
MS,5–10 jam,1,50,55,60
MS,<2 jam,2,45,45,40
MS,<2 jam,2,60,55,60
MS,2–5 jam,8,40,45,40
MS,2–5 jam,0,65,75,80
MS,<2 jam,0,50,55,55
MS,2–5 jam,2,55,50,55
MS,2–5 jam,0,85,90,90
MS,2–5 jam,0,60,65,65
MS,2–5 jam,0,65,70,65
MS,2–5 jam,2,45,45,50
MS,<2 jam,4,55,55,60
MS,<2 jam,3,50,55,50
MS,5–10 jam,5,65,70,65
MS,<2 jam,4,45,50,55
MS,2–5 jam,2,35,45,50
MS,<2 jam,0,40,65,50
MS,<2 jam,0,60,60,65
MS,<2 jam,0,50,45,50
MS,2–5 jam,6,50,45,50
MS,2–5 jam,0,55,65,60
MS,<2 jam,0,35,0,0
MS,<2 jam,2,55,45,50
MS,<2 jam,0,50,50,45
MS,<2 jam,2,45,35,45
MS,<2 jam,0,20,0,0
MS,<2 jam,4,30,55,45
MS,2–5 jam,9,20,40,40
MS,<2 jam,6,35,40,40
MS,<2 jam,4,40,45,45
MS,2–5 jam,8,25,25,35
MS,<2 jam,9,35,45,50
MS,<2 jam,12,40,55,50
MS,<2 jam,8,50,55,50
MS,<2 jam,8,45,50,55
MS,2–5 jam,8,50,45,55
MS,2–5 jam,4,40,45,50
MS,<2 jam,0,45,50,45
MS,<2 jam,4,40,45,50
MS,2–5 jam,2,30,40,40
MS,<2 jam,0,30,40,35
MS,<2 jam,0,40,30,0
MS,<2 jam,0,50,55,55
MS,5–10 jam,5,40,35,40
MS,2–5 jam,0,40,40,0
MS,2–5 jam,3,35,30,40
MS,<2 jam,0,40,50,45
MS,<2 jam,0,35,50,50
MS,2–5 jam,3,35,40,35
MS,2–5 jam,2,60,65,70
MS,<2 jam,0,55,60,65
MS,2–5 jam,0,60,65,70
MS,2–5 jam,0,90,90,90
MS,<2 jam,3,85,85,85
MS,2–5 jam,0,85,90,90
MS,2–5 jam,0,45,0,0
MS,<2 jam,8,50,55,55
MS,<2 jam,5,60,65,70
MS,<2 jam,4,60,65,70
MS,2–5 jam,4,40,40,50
MS,5–10 jam,0,55,60,65
MS,2–5 jam,0,25,0,0
MS,2–5 jam,2,45,50,50
MS,<2 jam,0,25,0,0
MS,>10 jam,0,90,90,90
MS,2–5 jam,5,55,55,60
MS,2–5 jam,2,40,50,55
MS,2–5 jam,0,55,55,60
MS,2–5 jam,0,40,0,0
MS,5–10 jam,5,70,70,75
MS,2–5 jam,4,50,55,55
MS,2–5 jam,0,50,50,50
MS,2–5 jam,2,60,60,60
MS,2–5 jam,0,75,70,75
MS,<2 jam,2,70,65,70
MS,5–10 jam,0,95,85,90
MS,2–5 jam,0,80,75,75
MS,2–5 jam,6,65,60,65
MS,2–5 jam,4,75,70,75
MS,2–5 jam,0,65,65,65
MS,2–5 jam,0,40,50,45
MS,5–10 jam,0,75,80,80
MS,<2 jam,0,40,40,45
MS,<2 jam,0,50,50,50
MS,2–5 jam,0,35,25,0
MS,<2 jam,3,45,50,50
MS,5–10 jam,8,50,55,60
MS,<2 jam,4,35,40,45
MS,5–10 jam,0,75,85,85
MS,5–10 jam,4,50,55,60
MS,2–5 jam,4,35,40,45
MS,2–5 jam,1,65,70,70
MS,2–5 jam,1,80,80,80
MS,2–5 jam,10,40,45,45
MS,2–5 jam,4,85,90,95
MS,<2 jam,0,35,35,0
MS,2–5 jam,4,70,75,80
MS,<2 jam,0,25,40,0
MS,<2 jam,0,35,35,0
MS,5–10 jam,0,70,85,75
MS,2–5 jam,0,30,45,55
MS,<2 jam,4,35,45,50
MS,5–10 jam,4,50,55,50
MS,2–5 jam,4,75,75,80
MS,2–5 jam,6,55,60,45
MS,<2 jam,6,50,50,50
MS,<2 jam,4,50,55,55
